trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.7937394660352427}",25,0,-120.25405794545328,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7913618158955839}",30,0,-90.32945250657681,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.7889912880176096}",25,0,-73.1796518165759,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-168.94800099873544,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.7842715137715565}",30,0,-227.47174945911365,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
82,False,"{'a': 0.5, 'e': 0.7819222249254772}",20,0,-52.12878476545665,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7795799733847004}",25,0,-88.16762963023108,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.7772447380689461}",25,7,-7.216510258834622,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.774916497961081}",25,4,-60.59148222555084,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.772595232106928}",20,0,-108.48135988224276,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.7702809196150792}",35,0,-57.47868035683707,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.7679735396567061}",20,0,-75.16397789557989,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.7656730714653739}",20,0,-114.3207177455879,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-22.249806154322233,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.7610927876289343}",20,0,-27.28978402772351,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.7588129307612413}",20,0,-31.29207019641152,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.7565399032150474}",20,0,-139.07331912183952,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.754273684533089}",25,0,-111.9571916280016,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.7520142543193826}",20,2,-130.33390460259957,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 3}",1
96,False,"{'a': 0.5, 'e': 0.7497615922390413}",25,0,-82.5114274371107,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.747515678018091}",20,15,3.8430407079397755,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.7452764914432887}",25,19,5.387512400347152,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.7430440123619398}",25,0,-94.46449050423021,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,4,-73.73482660198657,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.7385990963704826}",30,2,-177.59493228524826,"{0: 14, 1: 4, 2: 5, 3: 4, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.7363866194561001}",25,0,-147.33966745659413,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.7341807700262634}",25,0,-25.53218608078483,"{0: 20, 1: 3, 2: 0, 3: 2, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.7319815282283126}",25,2,-32.24924677997154,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.7297888742690568}",25,0,-199.87507725314464,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 4}",0
106,False,"{'a': 0.5, 'e': 0.7276027884145955}",25,0,-131.08352851922774,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7254232509901412}",20,0,-44.41449664084232,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.7232502423798424}",20,5,2.7733889443479676,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.721083743026607}",25,0,-115.76531981484317,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-135.6125312606835,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.716770194155699}",35,0,-145.6878162774823,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.7146231058160573}",25,13,-61.436641372658414,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.7124824490891918}",20,1,-87.33124797099426,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.7103482047091773}",25,14,-17.139996680508073,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.7082203534678}",30,0,-178.3896934792172,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
116,False,"{'a': 0.5, 'e': 0.7060988762143844}",30,0,-112.46735746591506,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.7039837538556208}",25,0,-119.13130355910724,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.701874967355394}",20,1,-36.16163845300417,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.699772497734611}",20,0,8.610752300997724,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.697676326071031}",25,1,-36.35125807990091,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.6955864334990951}",20,0,-89.21306111073973,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.6935028012097558}",20,0,-18.266608747842767,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.6914254104503085}",20,0,-117.4696526872909,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.6893542425242224}",20,0,-105.2404524001571,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,-33.387255373985944,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.6852305006658703}",20,0,-65.50313805210007,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.6831778896198997}",20,8,-15.380180403710986,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.6811314271795471}",25,0,-53.719989973672895,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.6790910949266368}",20,4,-7.67767552261545,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-49.0063525054728,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.6750287475861332}",35,0,-115.01469035602463,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.6730066959373864}",20,10,-32.80580584997546,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.6709907013534459}",20,0,-14.438893394627815,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.6689807456903467}",25,0,-42.33988901289682,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-133.99960419680107,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.6649788788224019}",20,2,-80.2436935567714,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.6629869316007274}",20,0,-13.056029410252,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.6610009512659124}",25,0,-127.61094336525024,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.6590209199441207}",20,0,-44.425404857297146,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,0,-31.02741008783502,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.6550786331118063}",20,0,-117.9623955295611,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.6531163421206756}",20,0,-90.609379946932,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.6511599291810325}",20,10,-65.6982205203875,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.6492093766851474}",25,0,-185.50143528801735,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
145,False,"{'a': 0.5, 'e': 0.6472646670780347}",30,0,-126.65317549314885,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.6453257828572946}",20,12,-28.840990425291025,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
